WARN  | 01-07-2019 | 14:31:56 | com.epam.igorpystovit.Application -> 'warnLog'  
ERROR | 04-07-2019 | 00:52:58 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 04-07-2019 | 00:53:04 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'An error occurred while updating row'  
ERROR | 04-07-2019 | 00:53:04 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 04-07-2019 | 00:53:13 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'An error occurred while updating row'  
ERROR | 04-07-2019 | 00:53:13 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 04-07-2019 | 00:53:39 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate primary key'  
ERROR | 04-07-2019 | 00:53:56 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'An error occurred while updating row'  
ERROR | 04-07-2019 | 00:53:56 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 04-07-2019 | 00:54:05 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'An error occurred while updating row'  
ERROR | 04-07-2019 | 00:54:05 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 04-07-2019 | 00:54:11 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'An error occurred while updating row'  
ERROR | 04-07-2019 | 00:54:11 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 04-07-2019 | 00:55:39 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate primary key'  
